user,id,date,flag,text,url
Tradermayne,1467640441638162400,2021-12-05,user deleted,Let’s go!,https://web.archive.org/web/20211205234207/https://twitter.com/Tradermayne/status/1467640441638162432
scottmelker,1462458486676205600,2021-11-21,user deleted,Sundaze pic.twitter.com/57VTLiqgQC,https://web.archive.org/web/20211121171520/https://twitter.com/scottmelker/status/1462458486676205575
scottmelker,1459886712516190200,2021-11-14,user deleted,"This is a cause that is near to my heart. My nephew is autistic and my brother spearheaded this event. Miami, Thursday November 18th, come hang with me, bid on some super cars and support an amazing cause. It’s also @EmiMelker ’s birthday! https://autism.psychiatry.ufl.edu/2021/10/06/supercar-show-and-auction/",https://web.archive.org/web/20211114141139/https://twitter.com/scottmelker/status/1459886712516190209
Tradermayne,1454558397588639700,2021-10-30,user deleted,Alright Twitter what we doing? pic.twitter.com/Ni94swC2qE,https://web.archive.org/web/20211030211846/https://twitter.com/Tradermayne/status/1454558397588639744
scottmelker,1452062295085965300,2021-10-24,user deleted,Your mom likes it,https://web.archive.org/web/20211024011022/https://twitter.com/scottmelker/status/1452062295085965319
scottmelker,1450949281221955600,2021-10-20,user deleted,New DJ name. “Send It Scott” https://twitter.com/realjohndough/status/1450941023954227203,https://web.archive.org/web/20211020221726/https://twitter.com/scottmelker/status/1450949281221955586
scottmelker,1449888334210347e3,2021-10-18,user deleted,"Many follows twitter account, can't understand why anyone follows said twitter account. News at 11. pic.twitter.com/TLRWvSpFJI",https://web.archive.org/web/20211018000143/https://twitter.com/scottmelker/status/1449888334210347008
scottmelker,1448940564821549e3,2021-10-15,user deleted,"This is how you blocked, congrats.",https://web.archive.org/web/20211015091531/https://twitter.com/scottmelker/status/1448940564821549056
Tradermayne,1448632711749505e3,2021-10-14,user deleted,The boys are flipping a cigarette pack for heads or tails. $10k a flip.,https://web.archive.org/web/20211014125232/https://twitter.com/Tradermayne/status/1448632711749505026
Tradermayne,1448162962594676700,2021-10-13,user deleted,Barely slept since arriving in Dubai. Account is reduced to posting stolen memes. pic.twitter.com/emlRdt5rK7,https://web.archive.org/web/20211013054534/https://twitter.com/Tradermayne/status/1448162962594676736
scottmelker,1446460408630481e3,2021-10-08,user deleted,Looks like http://Bloomberg.com is down. Getting 404 and 500 errors on every link.,https://web.archive.org/web/20211008130028/https://twitter.com/scottmelker/status/1446460408630480931
scottmelker,1443885969942401e3,2021-10-01,user deleted,"Yes, I quickly addressed and disproved all of that when it happened. And a third party disproved it all. Nobody saw my response, of course. https://twitter.com/scottmelker/status/1397724914052911104?s=20 https://twitter.com/CryptoCobain/status/1398505589123203077?s=20",https://web.archive.org/web/20211001103101/https://twitter.com/scottmelker/status/1443885969942401026
Tradermayne,1443323964198047700,2021-09-29,user deleted,Who are you?,https://web.archive.org/web/20210929211710/https://twitter.com/Tradermayne/status/1443323964198047747
Tradermayne,1443006320194441200,2021-09-29,user deleted,How’s,https://web.archive.org/web/20210929001500/https://twitter.com/Tradermayne/status/1443006320194441224
Tradermayne,1442674179652735e3,2021-09-28,user deleted,@welcomeOVO yo I just bought this shit and it’s way too tight around my neck. Requesting you make a version for myself and other thick necked individuals. pic.twitter.com/S5C6ruOsZq,https://web.archive.org/web/20210928021507/https://twitter.com/Tradermayne/status/1442674179652734977
Tradermayne,1442318316110946300,2021-09-27,user deleted,You put this on then you finish leg day with Bulgarian split squats. https://youtu.be/PCfiqY05BpA,https://web.archive.org/web/20210927024111/https://twitter.com/Tradermayne/status/1442318316110946308
